step,price,action,position,balance,portfolio_value
2180,0.31485,7,3156.126192686678,25407.46338578772,26401.16971755512
2186,0.32561,7,2209.288334880675,25715.763260667933,26435.129635388428
2194,0.32091,3,26249.45217583415,18001.034282467554,26424.745980214488
2204,0.31893,7,18374.616523083907,20512.55561719919,26372.772064906338
2205,0.31682,7,12862.231566158734,22258.989419252222,26334.001624042634
2215,0.33893,7,9003.562096311114,23566.808262667677,26618.3855639704
2222,0.39213,4,33043.35324992617,14140.084957600606,27097.375067494155
2223,0.38796,4,47622.263403138466,8484.050974560363,26959.584284441964
2240,0.39181,7,33335.584382196925,14081.714681755468,27142.929998544045
2245,0.348,3,45474.99359060681,9857.200277228829,25682.498046759996
2246,0.35441,4,56600.18788786573,5914.3201663372965,25973.99275567579
2247,0.34442,4,63468.91811995132,3548.592099802378,25408.556878676012
2258,0.32768,7,44428.242683965924,9787.840626666073,24346.08718934803
2259,0.33559,7,31099.769878776147,14260.74281535971,24697.5145889782
2264,0.33204,7,21769.838915143304,17358.65309252436,24587.11040590854
2265,0.33185,7,15238.887240600314,19525.94940572145,24582.974136514666
2281,0.33807,4,38341.735059953055,11715.569643432871,24677.7600151512
2282,0.34367,7,26839.214541967136,15668.64086984909,24892.473731486934
2294,0.37582,7,18787.450179376996,18694.654952597717,25755.354479011177
2300,0.38549,7,13151.215125563896,20867.36720349213,25937.029122245756
2305,0.41525,7,9205.850587894727,22505.679827759253,26328.40928438254
2306,0.41144,7,6444.095411526308,23641.976377524275,26293.33499364266
2320,0.38261,3,24981.490966418452,16549.383464266994,26107.551722928358
2326,0.38474,7,17487.043676492918,19432.797114592944,26160.76229868683
2329,0.37177,4,38395.45168638392,11659.678268755766,25933.955342202717
2330,0.37155,7,26876.816180468748,15939.42729097855,25925.508342831716
2344,0.36278,7,18813.771326328126,18864.538703163686,25689.798664929003
2363,0.32642,4,41930.662084447955,11318.72322189821,25005.72993950371
2364,0.32169,4,56004.737401552266,6791.233933138926,24807.397907844275
2365,0.33397,8,33602.84244093136,14272.79479313749,25495.136083135334
2374,0.32767,7,23521.989708651952,17575.987807923484,25283.43817575747
2379,0.33108,7,16465.392796056367,19912.28591374563,25363.64816066397
2380,0.33231,7,11525.774957239457,21553.770317762875,25383.90059380312
2390,0.32759,7,8068.042470067619,22686.4889032355,25329.49893600495
2391,0.32562,7,5647.629729047334,23474.623699966523,25313.604892338917
2397,0.30014,3,29111.303714487316,16432.236589976565,25169.70328684279
2398,0.2914,4,51667.56533422179,9859.341953985939,24915.27049237817
2399,0.29469,4,65050.22773061928,5915.6051723915625,25085.256782327757
2403,0.25596,3,71983.66089094694,4140.923620674093,22565.861462320874
2404,0.25405,4,78503.51701481876,2484.554172404456,22428.372670019162
2405,0.26841,7,54952.46191037314,8805.892872988705,23555.683174351958
2426,0.25164,7,38466.723337261195,12954.364127526593,22634.130388115
2427,0.24883,7,26926.70633608284,15825.866557929803,22526.0388955373
2432,0.24674,7,18848.69443525799,17819.03521433933,22469.762079294884
